representation,model,weighting,seed,repeat,fold,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,precision_IE,recall_IE,f1_IE,precision_Early,recall_Early,f1_Early,precision_Late,recall_Late,f1_Late
Physicochemical,SVM_Linear,Unweighted,2026,5,3,0.6,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.6,0.0425531914893617,1.0,1.0,1.0,0.0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.7272727272727273
Physicochemical,SVM_Linear,Unweighted,2026,5,4,0.6666666666666666,0.6060606060606061,0.3611111111111111,0.6060606060606061,0.4275362318840579,0.6072463768115942,0.1823312393723682,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,0.75,0.8181818181818182,0.782608695652174
Physicochemical,SVM_Linear,Unweighted,2026,5,5,0.7142857142857143,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.7142857142857143,0.3488372093023256,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.8,0.8
Physicochemical,SVM_Linear,Class_Balanced,42,1,1,0.6,0.8181818181818182,0.5873015873015873,0.8181818181818182,0.5750000000000001,0.6116666666666667,0.48470771015045017,0.3333333333333333,1.0,0.5,0.42857142857142855,1.0,0.6,1.0,0.45454545454545453,0.625
Physicochemical,SVM_Linear,Class_Balanced,42,1,2,0.6,0.7373737373737373,0.5634920634920634,0.7373737373737373,0.5925925925925926,0.6222222222222221,0.3360858403966819,0.5,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.8571428571428571,0.5454545454545454,0.6666666666666666
Physicochemical,SVM_Linear,Class_Balanced,42,1,3,0.6,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.6,0.0425531914893617,1.0,1.0,1.0,0.0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.7272727272727273
Physicochemical,SVM_Linear,Class_Balanced,42,1,4,0.4666666666666667,0.5151515151515151,0.3333333333333333,0.5151515151515151,0.3666666666666667,0.47333333333333333,-0.055131784641997125,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.5454545454545454,0.6
Physicochemical,SVM_Linear,Class_Balanced,42,1,5,0.35714285714285715,0.24444444444444446,0.24603174603174602,0.24444444444444446,0.23093681917211328,0.38375350140056025,-0.19534757877375794,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.5714285714285714,0.4,0.47058823529411764
Physicochemical,SVM_Linear,Class_Balanced,123,2,1,0.5333333333333333,0.32323232323232326,0.3,0.32323232323232326,0.3055555555555555,0.5388888888888889,-0.05157106231293967,0.0,0.0,0.0,0.2,0.3333333333333333,0.25,0.7,0.6363636363636364,0.6666666666666666
Physicochemical,SVM_Linear,Class_Balanced,123,2,2,0.4,0.48484848484848486,0.375,0.48484848484848486,0.39766081871345027,0.4304093567251462,-0.13466054463872648,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.625,0.45454545454545453,0.5263157894736842
