representation,method,K,silhouette,CH,DB,ARI,NMI,purity,stability_ARI_mean,stability_ARI_SD,cluster_size_min,cluster_size_max,cluster_balance_warning
Combined_Feature_Standardized,Hierarchical_Complete,3,0.3115117542809317,8.017086095480407,1.0391732085537728,-0.0001948338768916,0.0522146441152517,0.7432432432432432,1.0,0.0,1,67,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,4,0.163278625705536,7.093870437246495,1.7048822054108237,-0.0432719032920985,0.0763499448757711,0.7432432432432432,1.0,0.0,1,59,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,5,0.1639510258915136,6.264415115588424,1.4378628770912785,-0.0388202711027017,0.1246482488929808,0.7567567567567568,1.0,0.0,1,59,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,6,0.079612494666576,6.163581603869149,1.7492655611544354,-0.0564429477557868,0.1627695885583137,0.7567567567567568,1.0,0.0,1,43,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,7,0.0827556651654804,5.7406061076249335,1.5590366103621736,-0.0592629672614113,0.1613648635551978,0.7567567567567568,1.0,0.0,1,43,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,8,0.0851794957398152,5.757349938443674,1.4275166562732249,-0.0785756418368294,0.1560307201620506,0.7567567567567568,1.0,0.0,1,43,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,9,0.1067487031540901,6.850641498106637,1.4505239218424195,0.0687709223452749,0.2236550537747577,0.8378378378378378,1.0,0.0,1,31,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,10,0.1164348234518698,6.769408458364275,1.3638309288855706,0.0671331946220754,0.2283151492374127,0.8378378378378378,1.0,0.0,1,31,SINGLETON_DOMINATED
Combined_Equal_Block,K-Means,2,0.1377308154044176,8.21623739851943,2.3128982108227736,0.1286820229160715,0.0935192106751091,0.7297297297297297,1.0,0.0,15,59,NONE
Combined_Equal_Block,K-Means,3,0.1168187979010501,8.244150865026132,2.351938129208734,0.1294634771064671,0.1744107519723819,0.7297297297297297,0.9562593690862018,0.0337292812575104,15,41,NONE
Combined_Equal_Block,K-Means,4,0.0900749984156935,7.192223180970435,2.2520357459237457,0.1749123130402271,0.2043824400918102,0.7702702702702703,0.5661080960427122,0.1480557661982532,8,36,NONE
Combined_Equal_Block,K-Means,5,0.0669289692616937,6.571249301256947,2.3043515492276803,0.0388465984412768,0.1019768917994546,0.7297297297297297,0.5481394495907193,0.1235370854204397,8,19,NONE
Combined_Equal_Block,K-Means,6,0.0760046147739201,6.245286899427863,2.1914888709970928,0.0662811825190087,0.1621361664176712,0.7432432432432432,0.544039373367922,0.0901128682624693,5,20,NONE
Combined_Equal_Block,K-Means,7,0.0758502819454321,5.634992631763471,2.054308471336502,0.0832997331834075,0.1852337258465809,0.7837837837837838,0.5479024576872634,0.0842176802294157,1,20,SINGLETON_DOMINATED
Combined_Equal_Block,K-Means,8,0.0684069714225051,5.497651084889891,2.029954088830161,0.0772494681481573,0.2302896075123765,0.8108108108108109,0.5075371782942486,0.0752317268910852,1,18,SINGLETON_DOMINATED
Combined_Equal_Block,K-Means,9,0.088015082758275,5.082509757363496,1.7122252498934538,0.0621057174111578,0.1904000961667775,0.7837837837837838,0.4390327279221226,0.0967396134131568,1,23,SINGLETON_DOMINATED
Combined_Equal_Block,K-Means,10,0.0823324398801846,4.979418101941273,1.804085616367462,0.0570028650420668,0.2001569594448997,0.8108108108108109,0.4961416646794004,0.0515743327881179,1,20,SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Ward,2,0.1137511286524829,7.918885427865436,2.552575502875172,0.2849900092113654,0.2236948103722134,0.7702702702702703,1.0,0.0,19,55,NONE
Combined_Equal_Block,Hierarchical_Ward,3,0.1074891572646897,7.692661610675821,2.421748385166569,0.2266969652465886,0.2876721081377071,0.7702702702702703,1.0,0.0,16,39,NONE
Combined_Equal_Block,Hierarchical_Ward,4,0.0578748729412166,6.92229897538885,2.383670820334404,0.1044461685762191,0.2778700503513264,0.7702702702702703,1.0,0.0,16,20,NONE
Combined_Equal_Block,Hierarchical_Ward,5,0.0691417084147201,6.633977063409204,2.2570807254965843,0.1190658830275519,0.2707664357599864,0.7972972972972973,1.0,0.0,8,20,NONE
Combined_Equal_Block,Hierarchical_Ward,6,0.0747920189818476,6.19710114931801,2.2117532104320543,0.1188293007583918,0.2549757451592628,0.7972972972972973,1.0,0.0,6,20,NONE
Combined_Equal_Block,Hierarchical_Ward,7,0.0792614328482011,5.964480520941497,2.151711348208264,0.0747339014128468,0.2400032909243491,0.7972972972972973,1.0,0.0,5,19,NONE
